city,state,cost,statistics,latitude,longitude
Anchorage,AK,"{'2015-01-01': 1218.18, '2015-02-01': 1217.0, '2015-03-01': 1218.01, '2015-04-01': 1214.31, '2015-05-01': 1217.87, '2015-06-01': 1224.35, '2015-07-01': 1223.72, '2015-08-01': 1220.38, '2015-09-01': 1221.21, '2015-10-01': 1220.4, '2015-11-01': 1220.23, '2015-12-01': 1217.32, '2016-01-01': 1217.5, '2016-02-01': 1217.59, '2016-03-01': 1212.51, '2016-04-01': 1215.62, '2016-05-01': 1217.37, '2016-06-01': 1215.9, '2016-07-01': 1206.38, '2016-08-01': 1200.96, '2016-09-01': 1198.57, '2016-10-01': 1196.15, '2016-11-01': 1191.87, '2016-12-01': 1183.46, '2017-01-01': 1182.4, '2017-02-01': 1180.07, '2017-03-01': 1190.08, '2017-04-01': 1197.16, '2017-05-01': 1204.47, '2017-06-01': 1203.93, '2017-07-01': 1201.0, '2017-08-01': 1196.25, '2017-09-01': 1191.36, '2017-10-01': 1185.12, '2017-11-01': 1177.03, '2017-12-01': 1175.44, '2018-01-01': 1174.15, '2018-02-01': 1177.9, '2018-03-01': 1182.98, '2018-04-01': 1193.05, '2018-05-01': 1204.88, '2018-06-01': 1212.79, '2018-07-01': 1214.98, '2018-08-01': 1212.2, '2018-09-01': 1207.93, '2018-10-01': 1201.13, '2018-11-01': 1195.99, '2018-12-01': 1192.38, '2019-01-01': 1192.86, '2019-04-01': 1213.15, '2019-05-01': 1217.96, '2019-06-01': 1218.66, '2019-07-01': 1220.84, '2019-08-01': 1223.4, '2019-09-01': 1224.53, '2019-10-01': 1216.43, '2019-11-01': 1210.23, '2019-12-01': 1205.0, '2020-01-01': 1210.87, '2020-02-01': 1214.92, '2020-03-01': 1222.26, '2020-04-01': 1221.59, '2020-05-01': 1229.83, '2020-06-01': 1234.49, '2020-07-01': 1243.91, '2020-08-01': 1247.14, '2020-09-01': 1252.09, '2020-10-01': 1259.09, '2020-11-01': 1263.32, '2020-12-01': 1263.21, '2021-01-01': 1259.63, '2021-02-01': 1256.44, '2021-03-01': 1256.51, '2021-04-01': 1261.86, '2021-05-01': 1278.21, '2021-06-01': 1303.53, '2021-07-01': 1326.72, '2021-08-01': 1347.7, '2021-09-01': 1355.25, '2021-10-01': 1356.93, '2021-11-01': 1351.52, '2021-12-01': 1346.77, '2022-01-01': 1352.61, '2022-02-01': 1364.37, '2022-03-01': 1388.2, '2022-04-01': 1409.03, '2022-05-01': 1425.87, '2022-06-01': 1442.7, '2022-07-01': 1468.16, '2022-08-01': 1482.72, '2022-09-01': 1485.19, '2022-10-01': 1481.04, '2022-11-01': 1478.01, '2022-12-01': 1479.84, '2023-01-01': 1474.73, '2023-02-01': 1491.51, '2023-03-01': 1499.64, '2023-04-01': 1517.07, '2023-05-01': 1530.81, '2023-06-01': 1549.82, '2023-07-01': 1567.06, '2023-08-01': 1572.08, '2023-09-01': 1576.64, '2023-10-01': 1570.88, '2023-11-01': 1566.74, '2023-12-01': 1565.84, '2024-01-01': 1565.07, '2024-02-01': 1571.11, '2024-03-01': 1579.02, '2024-04-01': 1596.47, '2024-05-01': 1603.48, '2024-06-01': 1617.69, '2024-07-01': 1625.15, '2024-08-01': 1639.82, '2024-09-01': 1643.26, '2024-10-01': 1639.58, '2024-11-01': 1627.58, '2024-12-01': 1616.95, '2025-01-01': 1622.81, '2025-02-01': 1637.89, '2025-03-01': 1653.84, '2025-04-01': 1663.0, '2025-05-01': 1670.07, '2025-06-01': 1676.43, '2025-07-01': 1683.7, '2025-08-01': 1697.83, '2025-09-01': 1705.66, '2025-10-01': 1707.34, '2025-11-01': 1703.37, '2025-12-01': 1698.42, '2026-01-01': 1694.9}","{'representative_monthly_cost': 1689.3, 'estimated_income_needed': 67572.0, 'yoy_rent_change_pct': 4.44}",61.1508,-149.1091
Fairbanks,AK,"{'2021-05-01': 1461.59, '2021-06-01': 1525.8, '2021-07-01': 1529.23, '2021-09-01': 1548.62, '2021-10-01': 1550.62, '2021-11-01': 1555.57, '2021-12-01': 1554.47, '2022-01-01': 1563.2, '2022-02-01': 1582.28, '2022-03-01': 1573.43, '2022-04-01': 1612.26, '2022-05-01': 1632.76, '2022-06-01': 1683.2, '2022-07-01': 1681.27, '2022-08-01': 1676.82, '2022-09-01': 1672.71, '2022-10-01': 1668.07, '2022-11-01': 1662.63, '2022-12-01': 1639.37, '2023-01-01': 1647.33, '2023-02-01': 1701.58, '2023-03-01': 1729.7, '2023-04-01': 1753.99, '2023-05-01': 1730.1, '2023-06-01': 1719.86, '2023-07-01': 1720.32, '2023-08-01': 1723.03, '2023-09-01': 1731.28, '2023-10-01': 1731.13, '2023-11-01': 1717.9, '2023-12-01': 1722.73, '2024-01-01': 1730.66, '2024-02-01': 1729.7, '2024-03-01': 1753.27, '2024-04-01': 1749.84, '2024-05-01': 1781.86, '2024-06-01': 1781.27, '2024-07-01': 1794.51, '2024-08-01': 1794.59, '2024-09-01': 1801.65, '2024-10-01': 1802.02, '2024-11-01': 1802.63, '2024-12-01': 1790.89, '2025-01-01': 1796.99, '2025-02-01': 1809.93, '2025-03-01': 1822.93, '2025-04-01': 1835.19, '2025-05-01': 1844.92, '2025-06-01': 1854.03, '2025-07-01': 1855.78, '2025-08-01': 1831.6, '2025-09-01': 1833.65, '2025-10-01': 1823.71, '2025-11-01': 1819.61, '2025-12-01': 1835.43, '2026-01-01': 1837.85}","{'representative_monthly_cost': 1834.42, 'estimated_income_needed': 73376.8, 'yoy_rent_change_pct': 2.27}",64.8353,-147.6533
Albertville,AL,"{'2025-01-01': 1430.03, '2025-02-01': 1428.8, '2025-03-01': 1428.37, '2025-04-01': 1447.0, '2025-05-01': 1445.89, '2025-06-01': 1479.63, '2025-07-01': 1480.2, '2025-08-01': 1533.16, '2025-09-01': 1534.69, '2025-10-01': 1540.11, '2025-11-01': 1536.55, '2025-12-01': 1521.2, '2026-01-01': 1511.11}","{'representative_monthly_cost': 1495.66, 'estimated_income_needed': 59826.4, 'yoy_rent_change_pct': 5.67}",34.2633,-86.2108
Anniston,AL,"{'2023-04-01': 845.03, '2023-05-01': 833.12, '2023-06-01': 830.92, '2023-07-01': 836.45, '2023-08-01': 841.67, '2023-09-01': 852.56, '2023-10-01': 868.9, '2023-11-01': 869.21, '2023-12-01': 875.7, '2024-01-01': 880.07, '2024-02-01': 880.55, '2024-03-01': 872.46, '2024-04-01': 872.47, '2024-05-01': 879.94, '2024-06-01': 893.44, '2024-07-01': 897.3, '2024-08-01': 903.88, '2024-09-01': 907.24, '2024-10-01': 906.71, '2024-11-01': 911.66, '2024-12-01': 925.29, '2025-01-01': 925.71, '2025-02-01': 921.24, '2025-03-01': 913.48, '2025-04-01': 924.83, '2025-05-01': 931.36, '2025-06-01': 926.03, '2025-07-01': 933.1, '2025-08-01': 931.82, '2025-09-01': 936.51, '2025-10-01': 930.13, '2025-11-01': 937.83, '2025-12-01': 934.65, '2026-01-01': 932.75}","{'representative_monthly_cost': 931.59, 'estimated_income_needed': 37263.6, 'yoy_rent_change_pct': 0.76}",33.6712,-85.8135
Auburn,AL,"{'2015-04-01': 624.89, '2015-05-01': 679.23, '2015-06-01': 736.57, '2015-07-01': 901.11, '2015-08-01': 893.22, '2015-10-01': 906.24, '2015-11-01': 906.45, '2015-12-01': 910.12, '2016-01-01': 905.94, '2016-03-01': 919.55, '2016-04-01': 925.73, '2016-05-01': 927.18, '2016-06-01': 937.38, '2016-07-01': 933.42, '2016-08-01': 922.25, '2016-09-01': 928.98, '2016-10-01': 924.17, '2016-11-01': 919.91, '2016-12-01': 906.53, '2017-01-01': 913.21, '2017-02-01': 930.87, '2017-03-01': 942.72, '2017-04-01': 944.47, '2017-05-01': 954.65, '2017-06-01': 959.32, '2017-07-01': 962.59, '2017-08-01': 962.0, '2017-09-01': 960.25, '2017-10-01': 966.64, '2017-11-01': 973.07, '2017-12-01': 971.34, '2018-01-01': 983.84, '2018-02-01': 988.66, '2018-03-01': 1007.01, '2018-04-01': 1007.58, '2018-05-01': 1018.79, '2018-06-01': 1017.56, '2018-07-01': 1018.67, '2018-08-01': 1013.58, '2018-09-01': 1009.88, '2018-10-01': 1021.94, '2018-11-01': 1021.44, '2018-12-01': 1028.37, '2019-01-01': 1028.3, '2019-02-01': 1041.48, '2019-03-01': 1052.92, '2019-04-01': 1062.57, '2019-05-01': 1066.75, '2019-06-01': 1079.85, '2019-07-01': 1072.32, '2019-08-01': 1065.51, '2019-09-01': 1056.07, '2019-10-01': 1056.08, '2019-11-01': 1069.18, '2019-12-01': 1069.34, '2020-01-01': 1079.36, '2020-02-01': 1078.85, '2020-03-01': 1078.7, '2020-04-01': 1078.73, '2020-05-01': 1082.57, '2020-06-01': 1085.43, '2020-07-01': 1086.31, '2020-08-01': 1093.8, '2020-09-01': 1100.74, '2020-10-01': 1103.65, '2020-11-01': 1083.95, '2020-12-01': 1093.3, '2021-01-01': 1100.23, '2021-02-01': 1119.4, '2021-03-01': 1122.0, '2021-04-01': 1132.47, '2021-05-01': 1134.6, '2021-06-01': 1143.54, '2021-07-01': 1158.2, '2021-08-01': 1181.89, '2021-09-01': 1196.64, '2021-10-01': 1215.56, '2021-11-01': 1219.78, '2021-12-01': 1232.67, '2022-01-01': 1222.43, '2022-02-01': 1216.63, '2022-03-01': 1210.58, '2022-04-01': 1214.85, '2022-05-01': 1239.94, '2022-06-01': 1257.46, '2022-07-01': 1284.91, '2022-08-01': 1300.55, '2022-09-01': 1314.27, '2022-10-01': 1326.87, '2022-11-01': 1319.88, '2022-12-01': 1304.69, '2023-01-01': 1297.76, '2023-02-01': 1304.27, '2023-03-01': 1325.11, '2023-04-01': 1328.02, '2023-05-01': 1355.9, '2023-06-01': 1368.53, '2023-07-01': 1394.15, '2023-08-01': 1378.9, '2023-09-01': 1381.18, '2023-10-01': 1394.04, '2023-11-01': 1401.6, '2023-12-01': 1412.1, '2024-01-01': 1395.01, '2024-02-01': 1406.56, '2024-03-01': 1416.7, '2024-04-01': 1434.18, '2024-05-01': 1442.96, '2024-06-01': 1477.51, '2024-07-01': 1506.94, '2024-08-01': 1544.17, '2024-09-01': 1520.34, '2024-10-01': 1522.24, '2024-11-01': 1513.25, '2024-12-01': 1524.84, '2025-01-01': 1520.11, '2025-02-01': 1529.33, '2025-03-01': 1534.15, '2025-04-01': 1545.6, '2025-05-01': 1554.86, '2025-06-01': 1568.46, '2025-07-01': 1567.71, '2025-08-01': 1578.37, '2025-09-01': 1595.32, '2025-10-01': 1625.64, '2025-11-01': 1632.29, '2025-12-01': 1636.41, '2026-01-01': 1618.73}","{'representative_monthly_cost': 1573.41, 'estimated_income_needed': 62936.4, 'yoy_rent_change_pct': 6.49}",32.6087,-85.4903
Birmingham,AL,"{'2015-01-01': 892.48, '2015-02-01': 897.9, '2015-03-01': 904.69, '2015-04-01': 908.62, '2015-05-01': 907.19, '2015-06-01': 906.62, '2015-07-01': 907.55, '2015-08-01': 907.58, '2015-09-01': 908.81, '2015-10-01': 908.99, '2015-11-01': 909.53, '2015-12-01': 911.02, '2016-01-01': 914.72, '2016-02-01': 919.99, '2016-03-01': 921.69, '2016-04-01': 924.4, '2016-05-01': 927.6, '2016-06-01': 931.17, '2016-07-01': 930.43, '2016-08-01': 928.72, '2016-09-01': 925.25, '2016-10-01': 923.45, '2016-11-01': 922.87, '2016-12-01': 925.01, '2017-01-01': 926.21, '2017-02-01': 930.37, '2017-03-01': 936.85, '2017-04-01': 943.6, '2017-05-01': 946.83, '2017-06-01': 947.09, '2017-07-01': 948.65, '2017-08-01': 947.63, '2017-09-01': 953.62, '2017-10-01': 950.77, '2017-11-01': 954.3, '2017-12-01': 950.31, '2018-01-01': 952.59, '2018-02-01': 955.85, '2018-03-01': 963.23, '2018-04-01': 974.2, '2018-05-01': 981.98, '2018-06-01': 985.86, '2018-07-01': 984.16, '2018-08-01': 982.92, '2018-09-01': 982.35, '2018-10-01': 987.78, '2018-11-01': 990.11, '2018-12-01': 995.74, '2019-01-01': 994.98, '2019-02-01': 1000.74, '2019-03-01': 1001.94, '2019-04-01': 1008.91, '2019-05-01': 1013.96, '2019-06-01': 1020.16, '2019-07-01': 1022.82, '2019-08-01': 1023.72, '2019-09-01': 1025.8, '2019-10-01': 1025.53, '2019-11-01': 1026.49, '2019-12-01': 1024.97, '2020-01-01': 1026.82, '2020-02-01': 1028.35, '2020-03-01': 1040.29, '2020-04-01': 1046.64, '2020-05-01': 1048.8, '2020-06-01': 1047.36, '2020-07-01': 1057.49, '2020-08-01': 1066.21, '2020-09-01': 1072.92, '2020-10-01': 1072.45, '2020-11-01': 1076.2, '2020-12-01': 1081.37, '2021-01-01': 1087.35, '2021-02-01': 1090.38, '2021-03-01': 1091.55, '2021-04-01': 1099.24, '2021-05-01': 1116.86, '2021-06-01': 1136.73, '2021-07-01': 1156.4, '2021-08-01': 1169.68, '2021-09-01': 1177.17, '2021-10-01': 1177.85, '2021-11-01': 1178.87, '2021-12-01': 1190.82, '2022-01-01': 1199.73, '2022-02-01': 1208.02, '2022-03-01': 1211.91, '2022-04-01': 1220.49, '2022-05-01': 1231.05, '2022-06-01': 1241.3, '2022-07-01': 1253.75, '2022-08-01': 1260.72, '2022-09-01': 1258.16, '2022-10-01': 1249.88, '2022-11-01': 1250.1, '2022-12-01': 1248.67, '2023-01-01': 1251.62, '2023-02-01': 1256.48, '2023-03-01': 1271.22, '2023-04-01': 1286.47, '2023-05-01': 1297.28, '2023-06-01': 1305.49, '2023-07-01': 1313.37, '2023-08-01': 1317.01, '2023-09-01': 1316.19, '2023-10-01': 1310.87, '2023-11-01': 1309.63, '2023-12-01': 1309.17, '2024-01-01': 1313.15, '2024-02-01': 1320.0, '2024-03-01': 1326.79, '2024-04-01': 1333.0, '2024-05-01': 1336.35, '2024-06-01': 1344.62, '2024-07-01': 1351.51, '2024-08-01': 1356.39, '2024-09-01': 1360.17, '2024-10-01': 1364.23, '2024-11-01': 1363.12, '2024-12-01': 1360.41, '2025-01-01': 1358.79, '2025-02-01': 1365.72, '2025-03-01': 1375.53, '2025-04-01': 1385.6, '2025-05-01': 1392.4, '2025-06-01': 1397.44, '2025-07-01': 1398.51, '2025-08-01': 1402.37, '2025-09-01': 1396.68, '2025-10-01': 1393.32, '2025-11-01': 1388.29, '2025-12-01': 1386.17, '2026-01-01': 1385.17}","{'representative_monthly_cost': 1390.35, 'estimated_income_needed': 55614.0, 'yoy_rent_change_pct': 1.94}",33.5279,-86.7971
Cullman,AL,"{'2024-01-01': 1361.25, '2024-02-01': 1371.17, '2024-03-01': 1364.36, '2024-04-01': 1377.82, '2024-05-01': 1387.02, '2024-06-01': 1398.5, '2024-07-01': 1405.65, '2024-08-01': 1412.85, '2024-09-01': 1413.58, '2024-10-01': 1420.8, '2024-11-01': 1421.82, '2024-12-01': 1406.23, '2025-01-01': 1396.79, '2025-02-01': 1414.31, '2025-03-01': 1453.24, '2025-04-01': 1476.57, '2025-05-01': 1476.76, '2025-06-01': 1491.68, '2025-07-01': 1486.7, '2025-08-01': 1481.32, '2025-09-01': 1453.75, '2025-10-01': 1439.6, '2025-11-01': 1429.7, '2025-12-01': 1441.31, '2026-01-01': 1464.39}","{'representative_monthly_cost': 1459.07, 'estimated_income_needed': 58362.8, 'yoy_rent_change_pct': 4.84}",34.1775,-86.8407
Daphne,AL,"{'2015-01-01': 1035.69, '2015-03-01': 1021.49, '2015-04-01': 1033.58, '2015-05-01': 1050.98, '2015-06-01': 1072.57, '2015-07-01': 1072.77, '2015-08-01': 1075.62, '2015-09-01': 1072.69, '2015-10-01': 1059.8, '2015-11-01': 1051.12, '2015-12-01': 1040.14, '2016-01-01': 1054.38, '2016-02-01': 1056.56, '2016-03-01': 1063.42, '2016-04-01': 1065.55, '2016-05-01': 1078.33, '2016-06-01': 1089.43, '2016-07-01': 1099.11, '2016-08-01': 1107.6, '2016-09-01': 1103.08, '2016-10-01': 1099.32, '2016-11-01': 1084.06, '2016-12-01': 1083.03, '2017-01-01': 1086.51, '2017-02-01': 1099.83, '2017-03-01': 1106.2, '2017-04-01': 1113.86, '2017-05-01': 1119.16, '2017-06-01': 1132.73, '2017-07-01': 1143.83, '2017-08-01': 1153.86, '2017-09-01': 1150.36, '2017-10-01': 1131.43, '2017-11-01': 1113.82, '2017-12-01': 1109.93, '2018-01-01': 1115.91, '2018-02-01': 1114.97, '2018-03-01': 1119.81, '2018-04-01': 1129.29, '2018-05-01': 1149.97, '2018-06-01': 1157.1, '2018-07-01': 1160.64, '2018-08-01': 1159.3, '2018-09-01': 1165.66, '2018-10-01': 1168.86, '2018-11-01': 1172.22, '2018-12-01': 1162.05, '2019-01-01': 1167.92, '2019-02-01': 1163.37, '2019-03-01': 1172.43, '2019-04-01': 1180.29, '2019-05-01': 1198.79, '2019-06-01': 1213.54, '2019-07-01': 1213.92, '2019-08-01': 1209.33, '2019-09-01': 1206.51, '2019-10-01': 1207.05, '2019-11-01': 1213.29, '2019-12-01': 1213.21, '2020-01-01': 1218.03, '2020-02-01': 1217.94, '2020-03-01': 1222.43, '2020-04-01': 1226.72, '2020-05-01': 1239.12, '2020-06-01': 1246.89, '2020-07-01': 1248.97, '2020-08-01': 1250.16, '2020-09-01': 1252.4, '2020-10-01': 1270.84, '2020-11-01': 1278.88, '2020-12-01': 1291.38, '2021-01-01': 1287.1, '2021-02-01': 1303.78, '2021-03-01': 1320.98, '2021-04-01': 1363.59, '2021-05-01': 1380.3, '2021-06-01': 1414.07, '2021-07-01': 1464.25, '2021-08-01': 1528.06, '2021-09-01': 1573.19, '2021-10-01': 1578.69, '2021-11-01': 1556.8, '2021-12-01': 1557.23, '2022-01-01': 1550.41, '2022-02-01': 1575.56, '2022-03-01': 1567.51, '2022-04-01': 1573.82, '2022-05-01': 1591.43, '2022-06-01': 1610.37, '2022-07-01': 1636.16, '2022-08-01': 1636.73, '2022-09-01': 1633.45, '2022-10-01': 1609.89, '2022-11-01': 1612.81, '2022-12-01': 1621.12, '2023-01-01': 1631.55, '2023-02-01': 1634.94, '2023-03-01': 1644.0, '2023-04-01': 1654.74, '2023-05-01': 1665.37, '2023-06-01': 1676.06, '2023-07-01': 1679.93, '2023-08-01': 1677.64, '2023-09-01': 1665.98, '2023-10-01': 1652.4, '2023-11-01': 1628.32, '2023-12-01': 1617.69, '2024-01-01': 1623.79, '2024-02-01': 1629.29, '2024-03-01': 1643.18, '2024-04-01': 1651.51, '2024-05-01': 1679.09, '2024-06-01': 1690.4, '2024-07-01': 1700.13, '2024-08-01': 1705.98, '2024-09-01': 1704.01, '2024-10-01': 1694.07, '2024-11-01': 1677.83, '2024-12-01': 1662.15, '2025-01-01': 1654.84, '2025-02-01': 1652.27, '2025-03-01': 1667.82, '2025-04-01': 1681.64, '2025-05-01': 1696.4, '2025-06-01': 1701.05, '2025-07-01': 1710.87, '2025-08-01': 1710.33, '2025-09-01': 1721.19, '2025-10-01': 1732.25, '2025-11-01': 1731.92, '2025-12-01': 1719.7, '2026-01-01': 1707.77}","{'representative_monthly_cost': 1709.05, 'estimated_income_needed': 68362.0, 'yoy_rent_change_pct': 3.2}",30.6263,-87.8816
Decatur,AL,"{'2022-03-01': 852.85, '2022-04-01': 876.73, '2022-05-01': 903.87, '2022-06-01': 904.33, '2022-07-01': 908.28, '2022-08-01': 909.26, '2022-09-01': 915.76, '2022-10-01': 910.05, '2022-11-01': 920.29, '2022-12-01': 928.41, '2023-01-01': 947.42, '2023-02-01': 950.31, '2023-03-01': 960.91, '2023-04-01': 969.32, '2023-05-01': 974.03, '2023-06-01': 970.85, '2023-07-01': 976.86, '2023-08-01': 983.04, '2023-09-01': 990.19, '2023-10-01': 990.51, '2023-11-01': 996.29, '2023-12-01': 1000.57, '2024-01-01': 996.89, '2024-02-01': 997.36, '2024-03-01': 1004.66, '2024-04-01': 1017.09, '2024-05-01': 1032.82, '2024-06-01': 1038.89, '2024-07-01': 1048.63, '2024-08-01': 1043.62, '2024-09-01': 1037.14, '2024-10-01': 1026.2, '2024-11-01': 1027.96, '2024-12-01': 1027.01, '2025-01-01': 1036.4, '2025-02-01': 1035.24, '2025-03-01': 1040.81, '2025-04-01': 1058.17, '2025-05-01': 1071.21, '2025-06-01': 1089.45, '2025-07-01': 1085.4, '2025-08-01': 1091.42, '2025-09-01': 1069.23, '2025-10-01': 1060.46, '2025-11-01': 1044.05, '2025-12-01': 1052.88, '2026-01-01': 1059.07}","{'representative_monthly_cost': 1059.76, 'estimated_income_needed': 42390.4, 'yoy_rent_change_pct': 2.19}",34.5731,-86.9905
Dothan,AL,"{'2022-12-01': 1019.12, '2023-01-01': 1029.64, '2023-02-01': 1046.28, '2023-03-01': 1055.81, '2023-05-01': 1012.0, '2023-06-01': 1018.75, '2023-07-01': 1029.4, '2023-08-01': 1039.83, '2023-09-01': 1057.29, '2023-10-01': 1067.53, '2023-11-01': 1087.35, '2023-12-01': 1068.65, '2024-01-01': 1067.26, '2024-02-01': 1045.19, '2024-03-01': 1060.3, '2024-04-01': 1066.25, '2024-05-01': 1100.91, '2024-06-01': 1103.01, '2024-07-01': 1100.61, '2024-08-01': 1109.8, '2024-09-01': 1116.28, '2024-10-01': 1128.58, '2024-11-01': 1130.82, '2024-12-01': 1121.01, '2025-01-01': 1120.96, '2025-02-01': 1107.79, '2025-03-01': 1112.67, '2025-04-01': 1125.95, '2025-05-01': 1136.42, '2025-06-01': 1184.68, '2025-07-01': 1197.33, '2025-08-01': 1194.1, '2025-09-01': 1159.87, '2025-10-01': 1156.16, '2025-11-01': 1154.86, '2025-12-01': 1155.72, '2026-01-01': 1159.3}","{'representative_monthly_cost': 1155.94, 'estimated_income_needed': 46237.6, 'yoy_rent_change_pct': 3.42}",31.2336,-85.4070
