city,state,latitude,longitude
Aaronsburg,PA,40.9042,-77.4513
Abbeville,AL,31.5664,-85.2528
Abbeville,GA,31.9925,-83.3068
Abbeville,LA,29.9751,-92.1265
Abbeville,MS,34.5034,-89.5025
Abbeville,SC,34.1787,-82.3774
Abbot,ME,45.2345,-69.5699
Abbotsford,WI,44.9435,-90.3174
Abbott,TX,31.8868,-97.0799
Abbottstown,PA,39.8843,-76.9888
Abell,MD,38.2471,-76.7481
Aberdeen,ID,42.9441,-112.8384
Aberdeen,MD,39.5151,-76.1733
Aberdeen,MS,33.8287,-88.5539
Aberdeen,NC,35.1350,-79.4326
Aberdeen,OH,38.6713,-83.7704
Aberdeen,SD,45.4649,-98.4686
Aberdeen,WA,46.9757,-123.8094
Abernathy,TX,33.8420,-101.8162
Abilene,KS,38.9230,-97.2252
Abilene,TX,32.4543,-99.7384
Abingdon,IL,40.8038,-90.4009
Abingdon,MD,39.4629,-76.2754
Abingdon,VA,36.7090,-81.9713
Abington,MA,42.1167,-70.9543
Abington,PA,40.1238,-75.1148
Abiquiu,NM,36.2017,-106.3238
Abita Springs,LA,30.4761,-90.0293
Abrams,WI,44.7796,-88.0604
Absarokee,MT,45.5242,-109.4473
Absecon,NJ,39.4229,-74.4944
Acampo,CA,38.1735,-121.2797
Accident,MD,39.6257,-79.3200
Accokeek,MD,38.6745,-77.0023
Accomac,VA,37.7196,-75.6673
Accord,NY,41.7972,-74.2319
Ackerman,MS,33.3110,-89.1711
Ackley,IA,42.5519,-93.0528
Ackworth,IA,41.3642,-93.4723
Acme,WA,48.7158,-122.2077
Acres Green,CO,39.5557,-104.8958
Acton,CA,34.4956,-118.1858
Acton,MA,42.4751,-71.4483
Acton,ME,43.5494,-70.9307
Acushnet,MA,41.6997,-70.9087
Acworth,GA,34.0566,-84.6716
Acworth,NH,43.196,-72.3001
Ada,MI,42.9542,-85.4889
Ada,MN,47.2989,-96.5165
Ada,OH,40.7681,-83.8251
Ada,OK,34.7662,-96.6681
Adair,IA,41.5004,-94.6434
Adair,OK,36.4365,-95.2734
Adair Village,OR,44.6706,-123.2160
Adairsville,GA,34.3709,-84.9212
Adairville,KY,36.6710,-86.8560
Adams,MA,42.6223,-73.1172
Adams,MN,43.5654,-92.7190
Adams,NE,40.4572,-96.5129
Adams,NY,43.8062,-76.049
Adams,OR,45.7662,-118.5643
Adams,TN,36.5828,-87.0651
Adams,WI,43.9554,-89.8169
Adams Center,NY,43.8616,-76.0001
Adams Run,SC,32.7219,-80.3465
Adamstown,MD,39.3070,-77.4692
Adamstown,PA,40.2417,-76.0608
Adamsville,AL,33.6073,-86.9740
Adamsville,OH,40.0689,-81.8826
Adamsville,TN,35.2564,-88.3862
Addieville,IL,38.3913,-89.4865
Addis,LA,30.3652,-91.2658
Addison,AL,34.2017,-87.1765
Addison,IL,41.9313,-88.0085
Addison,ME,44.583,-67.7146
Addison,MI,41.9862,-84.3491
Addison,PA,39.7476,-79.3454
Addison,TX,32.9590,-96.8355
Addy,WA,48.3588,-117.8372
Addyston,OH,39.1371,-84.7104
Adel,GA,31.1264,-83.4229
Adel,IA,41.6101,-94.0124
Adelanto,CA,34.5814,-117.4397
Adell,WI,43.6212,-87.9482
Adelphi,MD,39.0017,-76.9649
Adena,OH,40.2166,-80.8762
Adin,CA,41.1948,-120.9501
Adirondack,NY,43.7165,-73.7825
Adkins,TX,29.3805,-98.265
Adolphus,KY,36.6775,-86.2636
Adrian,GA,32.5306,-82.5920
Adrian,MI,41.8994,-84.0447
Adrian,MN,43.6332,-95.9329
Adrian,MO,38.3944,-94.3435
Adrian,OR,43.7408,-117.0709
Advance,IN,39.9956,-86.6199
Advance,MO,37.1038,-89.9120
Advance,NC,35.9468,-80.4045
Affton,MO,38.5499,-90.3264
Afton,IA,41.0276,-94.1953
Afton,MN,44.9041,-92.8174
Afton,OK,36.6965,-94.9575
Afton,VA,38.0266,-78.8357
Afton,WY,42.7270,-110.9315
Agate,CO,39.4203,-103.9846
Agawam,MA,42.0702,-72.6227
Agency,IA,40.9970,-92.3073
Agency,MO,39.6699,-94.7587
Agoura Hills,CA,34.1510,-118.7609
Agra,OK,35.8950,-96.8703
Agua Dulce,CA,34.5044,-118.3160
Agua Dulce,TX,31.6549,-106.1369
Aguanga,CA,33.4522,-116.8555
Aguila,AZ,33.9376,-113.1665
Ahoskie,NC,36.2842,-76.9902
Ahwahnee,CA,37.3654,-119.7166
Aiea,HI,21.3865,-157.9232
Aiken,SC,33.5303,-81.7271
Ailey,GA,32.1882,-82.5698
Ainsworth,IA,41.2901,-91.5545
Ainsworth,NE,42.5485,-99.8576
Airmont,NY,41.0992,-74.0989
Airport Drive,MO,37.1405,-94.5162
Airville,PA,39.821,-76.4012
Airway Heights,WA,47.6459,-117.5792
Aitkin,MN,46.5262,-93.7056
Ajo,AZ,32.3923,-112.8839
Akeley,MN,47.0005,-94.7280
Akron,CO,40.1635,-103.2202
Akron,IA,42.8268,-96.5572
Akron,IN,41.0388,-86.0249
Akron,MI,43.5667,-83.5143
Akron,NY,43.0180,-78.4978
Akron,OH,41.0798,-81.5219
Akron,PA,40.1580,-76.2031
Alabaster,AL,33.2198,-86.8225
Alachua,FL,29.7779,-82.4832
Aladdin,WY,44.7473,-104.1931
Alameda,CA,37.7668,-122.2670
Alamo,CA,37.8548,-122.0136
Alamo,GA,32.1469,-82.7798
Alamo,NV,37.3771,-115.1678
Alamo,TN,35.7830,-89.1168
Alamo,TX,26.1810,-98.1177
Alamo Heights,TX,29.4828,-98.4682
Alamogordo,NM,32.8837,-105.9625
Alamosa,CO,37.4752,-105.8770
Alanson,MI,45.4425,-84.7871
Alba,TX,32.7906,-95.6343
Albany,CA,37.8897,-122.3018
Albany,GA,31.5776,-84.1762
Albany,IL,41.7861,-90.2163
Albany,IN,40.3056,-85.2331
Albany,KY,36.6906,-85.1353
Albany,LA,30.4993,-90.5839
Albany,MN,45.6284,-94.5675
Albany,MO,40.2479,-94.3335
Albany,NY,42.6664,-73.7987
Albany,OH,39.2245,-82.1975
Albany,OR,44.6272,-123.0965
Albany,TX,32.7272,-99.2957
Albany,VT,44.7417,-72.3646
Albany,WI,42.7069,-89.4367
Albemarle,NC,35.3594,-80.1915
Albers,IL,38.5452,-89.6142
Albert,KS,38.4540,-99.0111
Albert City,IA,42.7816,-94.9491
Albert Lea,MN,43.6548,-93.3643
Alberta,VA,36.8552,-77.8937
Alberton,MT,47.0037,-114.4817
Albertson,NC,35.1176,-77.8515
Albertson,NY,40.7715,-73.6482
Albertville,AL,34.2633,-86.2108
Albertville,MN,45.2364,-93.6618
Albia,IA,41.0268,-92.8038
Albion,CA,39.2256,-123.7564
Albion,IA,42.1125,-92.9886
Albion,ID,42.4098,-113.5806
Albion,IL,38.3766,-88.0580
Albion,IN,41.3966,-85.4187
Albion,ME,44.5355,-69.4683
Albion,MI,42.2478,-84.7572
Albion,NE,41.6873,-97.9989
Albion,PA,41.8904,-80.3641
Alborn,MN,46.9782,-92.5579
Albright,WV,39.4937,-79.6399
Albuquerque,NM,35.1054,-106.6465
Alburgh,VT,44.6031,-72.9527
Alburnett,IA,42.1488,-91.6205
Alburtis,PA,40.5090,-75.6001
Alcester,SD,43.0278,-96.6268
Alcoa,TN,35.8076,-83.9753
Alcolu,SC,33.7547,-80.2221
Alcova,WY,42.5543,-106.7263
Alda,NE,40.8666,-98.4680
Alden,IA,42.5115,-93.3805
Alden,MI,44.8792,-85.2729
Alden,MN,43.6695,-93.5735
Alderson,WV,37.7277,-80.6436
Aldie,VA,38.9761,-77.6450
Aledo,IL,41.1990,-90.7459
Aledo,TX,32.6974,-97.6069
Alex,OK,34.9228,-97.7763
Alexander,AR,34.6185,-92.4512
Alexander,IA,42.8044,-93.4786
Alexander,IL,39.7218,-90.0368
Alexander,NC,35.7064,-82.6311
Alexander,NY,42.9159,-78.2589
Alexander City,AL,32.9229,-85.9358
Alexandria,AL,33.7675,-85.8792
Alexandria,IN,40.2630,-85.6737
Alexandria,KY,38.9621,-84.3859
Alexandria,LA,31.2923,-92.4702
Alexandria,MN,45.8776,-95.3767
Alexandria,NE,40.2475,-97.3878
Alexandria,OH,40.0900,-82.6118
Alexandria,PA,40.5583,-78.0997
Alexandria,TN,36.0791,-86.0382
Alexandria,VA,38.8185,-77.0861
Alexandria Bay,NY,44.3400,-75.9161
Alexis,IL,41.0630,-90.5555
Alexis,NC,35.3968,-81.1190
Alford,FL,30.6967,-85.3953
Alfred,ME,43.4875,-70.6961
Alfred,NY,42.2534,-77.7893
Alfred Station,NY,42.2558,-77.7781
Alger,MI,44.1395,-84.1872
Alger,OH,40.7096,-83.8441
Algodones,NM,35.3804,-106.4731
Algoma,MS,34.1788,-89.0336
Algoma,WI,44.6058,-87.4465
Algona,IA,43.0743,-94.2311
Algona,WA,47.2820,-122.2504
Algonac,MI,42.6207,-82.5339
Algonquin,IL,42.1629,-88.3159
Algood,TN,36.2000,-85.4468
Alhambra,CA,34.0840,-118.1355
Alhambra,IL,38.8878,-89.7362
Alice,TX,27.7556,-98.0653
Aliceville,AL,33.1237,-88.1593
Aline,OK,36.5097,-98.4485
Aliquippa,PA,40.6155,-80.2547
Aliso Viejo,CA,33.5792,-117.7289
Alkol,WV,38.1609,-81.984
Allardt,TN,36.3811,-84.8814
Allegan,MI,42.5299,-85.8462
Alleman,IA,41.8149,-93.6092
Allen,KY,37.6119,-82.7291
Allen,MI,41.9581,-84.7680
Allen,NE,42.4144,-96.8431
Allen,OK,34.8776,-96.4129
Allen,TX,33.1088,-96.6735
Allen Park,MI,42.2595,-83.2107
Allendale,IL,38.5276,-87.7103
Allendale,MI,42.9845,-85.9499
Allendale,NJ,41.0332,-74.1333
Allendale,SC,33.0080,-81.3092
Allenhurst,GA,31.7839,-81.6078
Allenhurst,NJ,40.2362,-74.0017
Allenspark,CO,40.2099,-105.5112
Allensville,KY,36.7163,-87.0683
Allensville,PA,40.5330,-77.8142
Allenton,MI,42.9388,-82.9198
Allentown,GA,32.5855,-83.2273
Allentown,NJ,40.1778,-74.5873
Allentown,PA,40.5961,-75.4756
Allenwood,NJ,40.1384,-74.1032
Allerton,IA,40.7077,-93.3692
Alleyton,TX,29.7092,-96.4865
Allgood,AL,33.9064,-86.5178
Alliance,NC,35.1434,-76.8084
Alliance,NE,42.1025,-102.8766
Alliance,OH,40.9107,-81.1189
Alligator,MS,34.0899,-90.7206
Allison,IA,42.7520,-92.7957
Allons,TN,36.497,-85.3197
Allouez,WI,44.4721,-88.0259
Alloway,NJ,39.5591,-75.3506
Allyn,WA,47.3863,-122.8386
Alma,AR,35.4919,-94.2165
Alma,CO,39.2860,-106.0672
Alma,GA,31.5432,-82.4745
Alma,IL,38.7229,-88.9118
Alma,KS,39.0152,-96.2871
Alma,MI,43.3799,-84.6556
Alma,MO,39.0964,-93.5478
Alma,NE,40.1036,-99.3657
Alma,WI,44.3374,-91.9221
Alma,WV,39.4506,-80.8701
Alma Center,WI,44.4370,-90.9128
Almena,KS,39.8913,-99.7097
Almena,WI,45.4149,-92.0384
Almo,KY,36.6923,-88.2929
Almond,NY,42.316,-77.778
Almond,WI,44.2607,-89.4087
Almont,CO,38.82,-106.6603
Almont,MI,42.9206,-83.0434
Alondra Park,CA,33.8885,-118.3350
Alpaugh,CA,35.8890,-119.4858
Alpena,AR,36.2897,-93.3037
Alpena,MI,45.0740,-83.4402
Alpha,KY,36.7824,-85.0275
Alpharetta,GA,34.0704,-84.2738
Alpine,AZ,33.8461,-109.1433
Alpine,CA,32.8439,-116.7585
Alpine,NJ,40.9616,-73.9198
Alpine,TN,36.3803,-85.1522
Alpine,TX,30.3640,-103.6650
Alpine,UT,40.4629,-111.7724
Alpine,WY,43.1646,-111.0200
Alplaus,NY,42.8573,-73.9002
